0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:09 -0800] "GET /angular-jaxrs-demo/partials/home.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:32:14 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:34:40 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:08 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:09 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:09 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:09 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
